# KOReader partialMD5 vectors generated with:
# koreader 8da811b1bd4f33c2ce239885fe96e24771aba308
# koreader-base 9a8729713ab73f539b607af23ede6aa89d04cfed
# LuaJIT 1edc3e52b67eaf6ce5f809be8e17d6862594b8bc
#
# filename digest
all-samples.bin 7e5018e58f5a6dd40ba48159c4c0993f
eof-0.bin d41d8cd98f00b204e9800998ecf8427e
eof-1.bin 47ed733b8d10be225eceba344d533586
eof-1023.bin 28fc52a2bfb539ab92b31022f61b807b
eof-1024.bin 88a5a17765f74a9d23d4666ddb8f3377
eof-1025.bin 1162722e96c9bbdee420055e880e6eab
eof-2048.bin 599af7d5ee812c83b1f5f7afa943ac30
eof-2049.bin 599af7d5ee812c83b1f5f7afa943ac30
eof-4096.bin 599af7d5ee812c83b1f5f7afa943ac30
eof-4097.bin 8a0b8ca0172f86a3be35f775035ab721
eof-16384.bin 422fcf48372040f93b6e005f39d5a482
eof-16385.bin 9b76caeec55c5771bd0986281ce501ea
eof-65536.bin 80e547b2fc782d962dde5487af2bb685
eof-65537.bin c6ef54af268e52063f9684ca4fa46015
eof-262144.bin 2f51d959dd644dd81173141b7cc3f812
eof-262145.bin f67d0cd8c1d7cb653f27db7c3e5b82a2
eof-1048576.bin 7943556a552d8e6287094611b1008084
eof-1048577.bin 47a04e20d934793bb14bd49a6d76d6e1
eof-4194304.bin 2b9112bb99ff277f12d93fbb3f1d2aea
eof-4194305.bin 344a1b9b96db8229006e1fb190f9f786
eof-16777216.bin 9b97d853d6967d0c0967223f0c588357
eof-16777217.bin 91d1b09ac4092ae9b439cad4e0ea4a13
eof-67108864.bin c8a565ec3144b4e45196a248f5358a83
eof-67108865.bin b49db4383c7f63b5f9a825b746e8d330
eof-268435456.bin 55a03a90407ab3045d8cf65a2eec3a5f
eof-268435457.bin 340b0fb77adc5c226ef72b5ee596f98e
eof-1073741824.bin c76e7b66dbb0f7a92fa005e2037e7b78
eof-1073741825.bin 2ba23b8fc7ecbe82557c2cbc0ca82143
gap-base.bin 422fcf48372040f93b6e005f39d5a482
gap-changed.bin 422fcf48372040f93b6e005f39d5a482
sample-changed.bin 9c94da2f139487a2d41f83c792af1b89
test.epub e1a1e9016cfc9bca8c694187943e9c4f
valid2.epub e1a1e9016cfc9bca8c694187943e9c4f
foreign.epub 519220cea448409961e6b3081a36eca3
